f,mode,n,mean_binary_dice,mean_binary_iou,mean_mc_dice_partial,mean_n_gt_present,mean_n_detected,mean_n_pred_classes,mean_completeness,mean_hallucination_ratio
0.2,bottom,224,0.7832,0.6584,0.5229,2.5,1.5625,2.9866,0.6183,0.2693
0.2,mid,224,0.8483,0.7431,0.4938,3.5,1.9821,4.5134,0.5669,0.3322
0.2,random,224,0.8224,0.7069,0.4299,3.2946,1.4866,4.3705,0.4606,0.4043
0.2,top,224,0.8266,0.7092,0.6048,4.1652,2.9107,4.7321,0.7107,0.1646
0.3,bottom,224,0.8312,0.7191,0.5405,3.8393,2.4018,4.7098,0.6176,0.2537
0.3,mid,224,0.8581,0.7561,0.5313,5.0536,3.0714,6.0759,0.6062,0.2207
0.3,random,224,0.8453,0.7379,0.4724,5.0,2.5804,6.0045,0.5235,0.2369
0.3,top,224,0.836,0.7229,0.5397,6.192,3.8482,6.4598,0.6288,0.082
0.4,bottom,224,0.8376,0.7266,0.517,5.1607,3.0759,6.058,0.5967,0.1902
0.4,mid,224,0.8625,0.7629,0.5616,6.6295,4.3125,7.4464,0.646,0.1351
0.4,random,224,0.8554,0.753,0.5297,6.7054,3.9821,7.7277,0.5975,0.1662
0.4,top,224,0.8483,0.7415,0.5615,7.9732,5.1875,8.9955,0.6507,0.1398
0.5,bottom,224,0.8502,0.7441,0.5669,6.9018,4.5491,7.5893,0.6555,0.1082
0.5,mid,224,0.8693,0.7732,0.5541,8.4018,5.3304,9.0312,0.6309,0.092
0.5,random,224,0.8634,0.7634,0.5561,8.2991,5.2455,9.2634,0.6309,0.1333
0.5,top,224,0.8614,0.7606,0.5584,9.7545,6.2812,10.7902,0.6408,0.1147
0.6,bottom,224,0.8593,0.7572,0.5844,8.683,5.9241,9.442,0.6778,0.0977
0.6,mid,224,0.8658,0.7664,0.5515,10.0,6.2679,10.6562,0.6257,0.0795
0.6,random,224,0.8648,0.7658,0.5689,9.9598,6.5312,10.7545,0.6513,0.094
0.6,top,224,0.8689,0.7712,0.5987,11.4955,8.0714,12.0134,0.699,0.0558
0.8,bottom,224,0.8627,0.7616,0.5708,12.4911,8.2188,12.7812,0.6541,0.0365
0.8,mid,224,0.8713,0.7743,0.5716,13.4196,8.7768,13.9911,0.653,0.0557
0.8,random,224,0.8662,0.7667,0.5791,13.25,8.942,13.9509,0.6717,0.0639
0.8,top,224,0.8693,0.7714,0.6072,14.1562,9.9554,14.6875,0.7018,0.0483
1.0,bottom,224,0.8506,0.7425,0.6218,16.6562,12.0982,16.9018,0.7232,0.0188
1.0,mid,224,0.8506,0.7425,0.6218,16.6562,12.0982,16.9018,0.7232,0.0188
1.0,random,224,0.8506,0.7425,0.6218,16.6562,12.0982,16.9018,0.7232,0.0188
1.0,top,224,0.8506,0.7425,0.6218,16.6562,12.0982,16.9018,0.7232,0.0188
