f,mode,n,mean_binary_dice,mean_binary_iou,mean_mc_dice_partial,mean_n_gt_present,mean_n_detected,mean_n_pred_classes,mean_completeness,mean_hallucination_ratio
0.2,bottom,45,0.823,0.7032,0.6547,2.4667,1.8889,3.2222,0.7778,0.3741
0.2,mid,45,0.8582,0.7559,0.6463,3.4,2.5333,4.2889,0.7574,0.3278
0.2,random,45,0.8295,0.7155,0.6168,3.2667,2.4,4.2667,0.7481,0.3852
0.2,top,45,0.8486,0.7398,0.7632,4.1333,3.6667,5.2,0.8956,0.2663
0.3,bottom,45,0.8603,0.7572,0.7158,3.9111,3.2444,4.5556,0.8285,0.1785
0.3,mid,45,0.8601,0.757,0.7189,4.9111,4.2,5.9556,0.8585,0.2322
0.3,random,45,0.8731,0.7769,0.6717,4.8444,3.8444,5.5111,0.7967,0.1478
0.3,top,45,0.8727,0.7762,0.7773,6.2,5.7333,6.6889,0.9247,0.0919
0.4,bottom,45,0.8543,0.748,0.7696,5.1556,4.6667,5.8444,0.9041,0.1478
0.4,mid,45,0.8732,0.7771,0.7373,6.4667,5.5111,7.3556,0.863,0.147
0.4,random,45,0.864,0.7641,0.683,6.6889,5.3333,7.4667,0.8049,0.1377
0.4,top,45,0.8844,0.7942,0.7442,7.9778,6.9556,8.5333,0.8684,0.0786
0.5,bottom,45,0.8718,0.7745,0.7848,6.9556,6.3556,7.2667,0.9171,0.0579
0.5,mid,45,0.8855,0.7961,0.7512,8.4,7.3111,8.8,0.8753,0.0598
0.5,random,45,0.8814,0.7897,0.743,8.2222,7.0667,9.1333,0.8685,0.1251
0.5,top,45,0.8858,0.7964,0.7549,9.6222,8.4,10.1556,0.8709,0.061
0.6,bottom,45,0.8754,0.7798,0.785,8.6,7.8222,9.0444,0.916,0.0623
0.6,mid,45,0.8784,0.7848,0.7461,9.9778,8.5778,10.5556,0.8615,0.0654
0.6,random,45,0.8855,0.796,0.7598,10.0444,8.8,10.6889,0.884,0.0713
0.6,top,45,0.8879,0.8002,0.7553,11.4222,9.9556,11.9111,0.8728,0.0449
0.8,bottom,45,0.8791,0.7858,0.7623,12.4444,10.9778,12.7111,0.8837,0.0314
0.8,mid,45,0.8892,0.8017,0.7634,13.4,11.9111,14.0444,0.8875,0.0533
0.8,random,45,0.8845,0.7943,0.7584,13.3778,11.8,13.9556,0.8793,0.0522
0.8,top,45,0.8854,0.7956,0.7747,14.1111,12.6,14.6889,0.8931,0.0422
1.0,bottom,45,0.8687,0.7693,0.7765,16.5778,15.0,16.9111,0.9051,0.021
1.0,mid,45,0.8687,0.7693,0.7765,16.5778,15.0,16.9111,0.9051,0.021
1.0,random,45,0.8687,0.7693,0.7765,16.5778,15.0,16.9111,0.9051,0.021
1.0,top,45,0.8687,0.7693,0.7765,16.5778,15.0,16.9111,0.9051,0.021
