f,mode,n,mean_binary_dice,mean_binary_iou,mean_mc_dice_partial,mean_n_gt_present,mean_n_detected,mean_n_pred_classes,mean_completeness,mean_hallucination_ratio
0.2,bottom,45,0.8268,0.7081,0.6166,2.4667,1.8,2.7778,0.7444,0.1926
0.2,mid,45,0.868,0.7697,0.7475,3.4,2.8222,4.1333,0.8463,0.2722
0.2,random,45,0.8339,0.7226,0.5893,3.2667,2.1778,4.2222,0.6778,0.3389
0.2,top,45,0.8424,0.7325,0.7488,4.1333,3.4222,4.8889,0.8411,0.1867
0.3,bottom,45,0.8753,0.7806,0.6169,3.9111,2.7778,4.2667,0.7115,0.1396
0.3,mid,45,0.8676,0.7687,0.7919,4.9111,4.4222,5.9111,0.9081,0.2233
0.3,random,45,0.8818,0.7911,0.7003,4.8444,3.9556,5.6444,0.8063,0.1826
0.3,top,45,0.8717,0.7752,0.7829,6.2,5.6889,6.5556,0.92,0.0652
0.4,bottom,45,0.8715,0.7742,0.7655,5.1556,4.6,6.1111,0.8937,0.2044
0.4,mid,45,0.8797,0.7872,0.7985,6.4667,5.8222,7.5333,0.9122,0.1809
0.4,random,45,0.8719,0.775,0.7398,6.6889,5.6444,7.7778,0.8492,0.1806
0.4,top,45,0.8762,0.7814,0.7674,7.9778,7.0222,8.7778,0.8774,0.1056
0.5,bottom,45,0.884,0.7934,0.8142,6.9556,6.4222,7.2889,0.9257,0.0586
0.5,mid,45,0.8952,0.8113,0.8027,8.4,7.6444,8.9556,0.9151,0.074
0.5,random,45,0.8897,0.8027,0.8122,8.2222,7.5333,8.9778,0.9238,0.1061
0.5,top,45,0.8848,0.795,0.7801,9.6222,8.6222,10.5556,0.8944,0.0994
0.6,bottom,45,0.8873,0.7985,0.8277,8.6,8.1333,8.9778,0.9493,0.0515
0.6,mid,45,0.8875,0.799,0.8112,9.9778,9.2222,10.8,0.9272,0.0898
0.6,random,45,0.8954,0.8116,0.8251,10.0444,9.4444,10.5778,0.9476,0.0605
0.6,top,45,0.8928,0.8076,0.8138,11.4222,10.6444,11.8889,0.9333,0.0427
0.8,bottom,45,0.8905,0.8036,0.8169,12.4444,11.5778,12.8,0.9322,0.0352
0.8,mid,45,0.8993,0.818,0.8224,13.4,12.6222,13.8889,0.9421,0.0397
0.8,random,45,0.894,0.8093,0.8228,13.3778,12.5333,14.0444,0.937,0.0527
0.8,top,45,0.8914,0.8052,0.8223,14.1111,13.2,14.7333,0.9365,0.0457
1.0,bottom,45,0.8844,0.7938,0.8266,16.5778,15.6,16.9333,0.9416,0.0224
1.0,mid,45,0.8844,0.7938,0.8266,16.5778,15.6,16.9333,0.9416,0.0224
1.0,random,45,0.8844,0.7938,0.8266,16.5778,15.6,16.9333,0.9416,0.0224
1.0,top,45,0.8844,0.7938,0.8266,16.5778,15.6,16.9333,0.9416,0.0224
